text,label,notes,source
"I was convinced Carmelo was the right choice over LeBron in 2003. My thinking was along the lines of “How do you not take the proven winner, fresh off his title at Syracuse, over the kid who has dunked on a bunch of high schoolers?”",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"Draymond legit changed NBA history i swear. Poole was never gonna be Steph. But i feel like had he stayed in a winning culture with Steph Kerr and ironically Draymond mentoring him, he would have kept GSW in winning years for a long time.",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
Not sure if that really qualifies as a hot take because I think there was a good amount of Mavs fans thinking that way. But still crazy to think he would win the whole thing just a season later without Beaubois playing.,analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"No, it turns out he was a big piece of that shit culture. It’s a shame. Luka had him putting up the best roll-man numbers in the league. He just did not know how to be a professional basketball player.",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"Hot take, but not boiling. Lots of folks saying after the finals run that something had to move and Brown could have gotten them a haul back and salary relief. Obviously, Brad had a different and better plan.",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
I legit thought LeBron would be a bust. In my defense I meant relative to the hype. I didn’t see how anyone could ever live up to it. Thought he’d have a good career but he really delivered.,analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"Not trying to dunk on your draft hit, but I don't think anyone should have been confident in any outcome for Wiseman. No one had really seen him play meaningful basketball. He was a complete mystery box.",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"Westbrook would help the Lakers, I was never high on him but I think this is the last time he will be an important part for a contending team. Lebron, AD and him in LA ?",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"wild. I'd take a bunch of teams' 3rd option over him. AG, Derrick White, Reaves, OG for sure. so if we're saying Chet is the 5th best 3rd option, then he needs to be better than 45 out of 60 of the top 2 team options to be top 20 in the league. Even if you want to say he's a top 30 player, he'd still need to be better",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
I disagree. He obviously cares greatly or he wouldnt have refused to shoot basically at the end of the series against the Spurs. The question for Chet now is what does he do going forward. He could go crazy next year and we get a real battle with him v Wemby for the next decade or he could stay passive/scared of Wemby,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
Chet was still really good defensively against the Spurs and on the offensive end a lot of his problems started with Wemby shutting off his paint game and forcing him to be exclusively a 3-point shooter which Chet can usually do but as he was forced to be the 2nd option with JDub and Ajay out and the Spurs did a good,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"Against Wemby he's got nothing at the moment. Wemby is taller and with longer reach, he's slightly faster and more nimble than Chet and stronger. MakeupHe can't step back on him, he's release is too slow and Wemby can easily use his reach to shut it down. He can't move around him because his reach again.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"Similar to Wemby, he needs something to go to on offense aside from just his 3 ball. I’m not sure how post ups will be successful with these lanky dudes but they need to work with Dirk since they won’t always get open threes and rim finishes with how physical teams play them",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
Wemby is just a perfect counter to Chet since he’s just literally a much bigger Chet. All of Chet’s strengths get immediately neutered by Wemby so it’s hard for him to be effective. It’s just a really strange case of someone being a perfect counter in almost all facets of,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"I friggin love Kat! As much as I hated seeing my team lose in the end, it’s bittersweet cause Kat is one of the nicest guys in the league that went through a lot. I’m happy he got to win a ring and shut up all the doubters and haters",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"That would be assuming the trio stays in OKC for the next 10 years. With the way the cap works these days it’s hard to tell, and regardless, at least for his development as an individual player, getting a more expanded toolkit would be good for him",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"This is why I refrain shitting on chet, he's an insane player and rim protector and is the reason OKC has had an insane defense for the last 2 seasons but everything he does is usually swept under the rug because wemby just does it better.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
Chet and Wemby are 2 generational rim protectors. One of the reasons I expect the Thunder or Spurs to run the west for the next couple of seasons is because they’re gonna have these guys at the back line consistently whilst having elite perimeter defenders.,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
His coaching staff will work with him. He got exposed by Wemby because I don’t think he’s ever had to deal with someone taller than him and lacked the skills. He’s smart enough to work on it and not stay in the yips hopefully,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"As this entire discussion has mentioned, he isn't valued for being an offensive option. That is just a nice bonus. Hes valued for being a top 2 defensive player in the league at an extremely young age. It's unheard of outside of Wemby.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"It’s like if we had to compare KAT to prime Giannis. KAT is an all NBA level guy, but comparing him to Giannis is just not a fair comparison because of how much further ahead Giannis was, even if they’re both elite.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"This is not Chet revisionist time. He shrank and choked. Nothing to do with the finals. He literally became worse than Ben Simmons in Game 7. Ben Simmons is on the bench, he was out there wasting everyone's time.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
I don't disagree that he's top 30 but he's probably still the 4th best player on the Thunder. Their injury issues and going up against Wemby made it basically impossible for him to shine in these playoffs.,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"this is his 4th year in the league and soon to be 5th, if the training hasnt taken hold yet with how he currently is physically, either he doesnt give a fuck or hes basically capped out",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"No one wants to hear it right now but Chet will absolutely go on some sort of run, whether it’s in the playoffs or not, that forces the public narrative to come back around to him",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
How can you be a Thunder fan and know so little about Chet. Lol. Everyone who knows him says that he's hyper competitive and watches insane amounts of film. Basically all he cares about is basketball.,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"I’m not defender of his but the dude was clowned. I would not be as certain as you are, though you may end up being right. It would be embarrassing for him if so.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
JDub wasn’t there for the majority of the playoffs. What he’s doing is fine for being a 3rd option but you can see once he gets more responsibilities it becomes way harder for him,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"Yep, Chet has a really slow 3 point shot and there is literally only one guy in the league that can go from guarding the rim to blocking him on his shot attempt.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"Except he really doesn’t. He has the MVP on his team and JDub. He just needs to catch oops and shoot 3s. Problem is, he was too scared to do either of those.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
Positioning and foot work prevent guys from getting to the rim. That is ALSO rim protection. Preventing a shot attempt isn’t shown in any stats. You gotta see it to appreciate it.,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"Exactly. Chet is tall and lanky with a slow release. Against smaller guys he can create enough space to shoot over, against bigger guys he could nimble enough to move around.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"Yes and no, he did turn into Ben Simmons in that series where he straight up refused to take shots and played as passive as humanly possible on offense",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"Tbf, even when Chet was playing scared against the Spurs, he was still playing really good defense and had some clutch blocks. Seemed more like the yips than anything.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"Not quite sure where OP got his stat from so I'll use the overall DFG% (so all shots, not just 5 feet from the rim) from the NBA site",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"Not to mention taking away his ability to easily dunk over everybody. And with Dub/Ajay out, it’s not like he was getting many easy looks at the rim.",analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
He played a bad series but he is a seriously good defensive player who would have won the award any other year if Wemby wasn’t in the league,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
You can’t just bully the Deandre Aytons and Oso Ighodaros of the world then shut down against the best competition and expect people to respect you.,analysis,"Provides basketball reasoning, evidence, or matchup context",r/nba - Wembanyama rim protection playoff stat
"I was crying the last 2 minutes of the game and I finally was chill and this commercial came on and I was dead ass balling again. 34 years I’ve waited for this. I never thought they would ever have a chance and then 3 years ago it started building slowly. Maybe they can actually win it all, for real. Then they",analysis,Explains why the ad or moment works using context or comparison,r/nba - Nike ad celebrating the Knicks title
"This is for the fans who endured the three-worst seasons in Knicks history all inside of a five-year span. For the fans who watched the Knicks trade the kitchen sink for Carmelo Anthony when they could have waited until the summer to sign him as a free agent. It’s for the same fans who, just a short while later,",analysis,Explains why the ad or moment works using context or comparison,r/nba - Nike ad celebrating the Knicks title
"Same dude. I commented on another post about being in grade school watching my dad jump around the living room yelling about getting Ewing when they won the lottery, then watching all through college in the 90’s as Pat dragged those teams into the playoffs year after year, the LJ 4 point play, then torture for over a",analysis,Explains why the ad or moment works using context or comparison,r/nba - Nike ad celebrating the Knicks title
"I think I know where this is from. The ad is very Uncut Gems-coded (a film primarily set in NY which draws a lot from the city's crazy vibe), from cinematography to photography, but the cartwheel mid-running reminded me instantly of Denis Lavant in Mauvais Sang, a tracking shot that Frances Ha (another NY-set film)",analysis,Explains why the ad or moment works using context or comparison,r/nba - Nike ad celebrating the Knicks title
This is perfect! Song choice is poignant. This championship could’ve happened years ago but it takes guts to play for this team. How many big free agents passed up this opportunity? But it’s this group that did it and it couldn’t have happened to better group.,analysis,Explains why the ad or moment works using context or comparison,r/nba - Nike ad celebrating the Knicks title
"Probably something alien related. If the Spurs won it would be all about Wemby on the path to goat status and their young team, Knicks it’s all about the city and the fans",analysis,Explains why the ad or moment works using context or comparison,r/nba - Nike ad celebrating the Knicks title
Oh man. What a beautiful homage to the OG. Damn. Reading this just made me sad when I realized that he passed just before getting to see this too. ✊🥹❤️,analysis,Explains why the ad or moment works using context or comparison,r/nba - Nike ad celebrating the Knicks title
The only downside to the Nike Dodgers ones is the absence of Shohei Ohtani (presumably his New Balance deal means he can’t be seen in a Nike commercial).,analysis,Explains why the ad or moment works using context or comparison,r/nba - Nike ad celebrating the Knicks title
"Luka is more of a foul baiter than a straight flopper. Fake to get the opponent in the air, jump into them, then shoot a controlled shot. He's not a ""defender is three feet away from me, act like I got shot"" type flopper. You can probably find a clip or two of him doing that, but not every game like some of the other",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"hard to make tge 1 to 1 comparison for me. it’s kind of a similar thing of body control, get half a step on a defender and use decel/weird arm movements to draw illegal contact. maybe harden more like a faster less savant luka and sga the agile, fluid slithering, interpretive dance version of this crafty decel",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"Harden, Embiid, SGA, Brunson, then Luka. Harden is the GOATF. Best flopper and foul baiter ever. Embiid flopped and hurt himself and his teammates at times. I know everyone thinks Bron pushed Embiid and made him fall but go watch the play again. I’ll always say Embiid flopped in the air and made himself land like",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"Harden was much more of a pioneer when it came to non-flopping bullshit foul drawing though, so he might have been the more frustrating player to watch. Creating a foul out of nothing was his bread and butter. So I would probably give him the edge in the acting and reliance categories.",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"Josh & Shannon Hart x Lucid Gravity. Between the pace of the season and everyday life, Josh and Shannon Hart find time to slow down inside Lucid Gravity. Sanctuary creates a space for stillness, comfort, and focus — exactly when it’s needed most. Experience the calm before everything else begins.",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"Impossible to argue with the forever changing goalposts of this argument. But perhaps you deep down know that you're basically sitting on an argument of insignificant margins that isn't supportable by anything except your subjective feeling of what is occurring, which happens to line up with your current interests.",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"Would you say that the differences are such to make them beyond comparison with one another and that Luka does ""not belong"" in this conversation, given he's one of the other star players in the NBA that gets a similar amount of FTA and has similarly high usage?",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"SGA definitely takes the cake for me in terms of most frequent and egregious. Just constantly falling down for absolutely no reason. At least with the other guys you are usually seeing them flop to exaggerate contact, not just because a defender happened to be near them.",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"One of few players I've seen to get an opponent on the swipe shooting foul on the other basket. Literally got the ball on the other end, before advancing even a step, defender reached in and bam! shooting foul. The flopping made me die a little.",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"Brunson is a tier below, but Embiid has 4 seasons with more FTA per game than SGA this season (and a higher career FTA per game in the playoffs of 9.53). Harden has 8 seasons with more FTA per game than SGA this season.",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"Harden does insane ""flops"" on three point shots it's crazy. Embiid has probably hurt himself and Luka doesn't feel like he ""flops"" a lot but he often stays behind to argue with the refs as the other team is in the transition game.",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"Brunson not an emotional actor so I credit him there, but I'll never ever forgive that clip of him grabbing someone's arm and using it to hit himself in the face - it's maybe the most unsportsmanlike thing I've ever seen LoL.",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"Luka is the biggest foul baiter but probably the worst at it. He tries to get to the line every single time down. Harden and Shai are the most efficient, when they go for it they usually get it.",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
"Harden would still choose his moments, depending on the shot type. SGA’s ability to flop on any and all shots, regardless of the shot type, is what puts him number one for consistency in my book.",analysis,"Uses reasoning, statistics, or comparison to justify the label",r/nba - Rank these players in terms of flopping
I believed it ONLY because Iggy said he was a true talent.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
He would have been great if he wasnt busy getting babies high.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
Probably my biggest draft hit ever. I was soooo confident he would bust,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
I thought the warriors should have kept monta Ellis instead of Steph curry.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
I really thought that Jalen Green would follow Booker career arc.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
"The Lavine/Derozan wasn't that bad in Chicago, they could work on the Kings.",hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
spoon terrific soft scary offer spectacular practice support fall recognise,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
Michael Beasley would be as good or better than KD,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
I really thought he was the suns future star.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
Yea but Mav fans should’ve hurt someone by now,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
That Dirk couldn’t lead a team to a championship.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
"That the combo of Drexler, Olajuwon, and Barkley would win one if not more rings",hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
I thought Jabari Parker would be a legit pro.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
Rose will come back to his MVP level and he will shake the East !,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
I thought the warriors were cooked post KD,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
"You're not wrong about the last one, Nico just made worst trade in the NBA history.",hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
"If r/nba was more popular in 2013, there would have been so many bad Steph takes.",hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
Ben Simmons is the future of the NBA.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
Thunder should trade SGA and build around Giddey.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
You thought he would be amazing while injured?,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
I was soooo confident he would bust,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
I didn't think the Thompson Twins would work out. I thought they'd be more like Jarred Vanderbilt,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
Wesley Johnson and Derrick Williams. I’ll never make statements about any Timberwolve draft pick early ever again.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
I thought Ian Mahinmi was going to be able to replace David Robinson when we drafted him,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
Jalen Green could ended up like Booker.,hot_take,Past prediction or strong opinion with limited support,r/nba - What hot takes are you willing to admit you were wrong about?
The conversations surrounding chet would look so different if Wemby never existed.,hot_take,Strong player evaluation with limited support,r/nba - Wembanyama rim protection playoff stat
"Edit: Nevermind, I'm stupid, he linked it. 5 feet from the rim:",hot_take,Strong player evaluation with limited support,r/nba - Wembanyama rim protection playoff stat
harder to score over the really tall nimble guy. color me shocked,hot_take,Opinionated claim with limited support,r/nba - Wembanyama rim protection playoff stat
Weren’t Ben Simmons stats in that series not even that bad?,hot_take,Opinionated claim with limited support,r/nba - Wembanyama rim protection playoff stat
He just doesnt have the frame to carry much more weight.,hot_take,Opinionated claim with limited support,r/nba - Wembanyama rim protection playoff stat
And he for sure isnt built like Giannis (who is a genetic superhero),hot_take,Opinionated claim with limited support,r/nba - Wembanyama rim protection playoff stat
"Mitchell Robinson is a decent rim protector, he isn't particularly elite.",hot_take,Opinionated claim with limited support,r/nba - Wembanyama rim protection playoff stat
"Ya I’d probably argue top 20 or 15, good call .",hot_take,Strong player evaluation with limited support,r/nba - Wembanyama rim protection playoff stat
"CodePath Fall courses are open. No cost, 10 weeks. Your application takes 15 minutes.",hot_take,Opinionated claim with limited support,r/nba - Wembanyama rim protection playoff stat
This is a wild way to talk about a 24 year old NBA champion.,hot_take,Opinionated claim with limited support,r/nba - Wembanyama rim protection playoff stat
Nike marketing team has to be the greatest marketing team of all time,hot_take,Strong evaluative claim with little support,r/nba - Nike ad celebrating the Knicks title
The tagline is great as well. Never slept always dreamed. Damn.,hot_take,Strong evaluative claim with little support,r/nba - Nike ad celebrating the Knicks title
"Not close and no cigar: Stephon Marbury, Steve Francis, Eddy Curry, Zach Randolph",hot_take,Strong evaluative claim with little support,r/nba - Nike ad celebrating the Knicks title
Wonder what ad they had cooked up for the spurs lol,hot_take,Strong evaluative claim with little support,r/nba - Nike ad celebrating the Knicks title
"With the tagline: ""San Antonio - We Always Get More.""",hot_take,Strong evaluative claim with little support,r/nba - Nike ad celebrating the Knicks title
Luka and Brunson do not belong with the other three imo lol,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
It’s so bad that he’s actually injured himself and teammates by flopping,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Harden is OG but he is also adds a dimension three players don't.,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"If we’re including Harden, then Wade, CP3, Manu, Vlade should all be here.",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"SGA, Harden, and Embiid are in a tier of their own.",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"Harden is in his own tier, then Embiid along with SGA",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Who cares. Jimmy clears everyone at what matters the most - foul baiting.,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"Doesn't Luka have a much hier usage, and also shoot a whole lot more?",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Embiid is by far the worst flopper I’ve ever seen,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"Harden, Embiid, SGA, Luka, Brunson. Honorable mention to Vlade Divac.",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Prime Harden is in a class of his own,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Harden > Embiid > SGA > Luka > Brunson,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"Harden is still the best to ever do it, but SGA might clear him one day.",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"CP3 must be up there, maybe not as much in volume but he's got legendary ones.",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Harden was great at drawing fouls but embiid was straight up flopping every single he got the ball,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
SGA a master baiter too,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"Harden, Embiid, SGA, Luka, Brunson",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Luka complains the most out of these guys by far but he doesn’t flop as much. He’s just whiny.,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"Actually an excellent question. Prime Harden was probably the GOAT, but SGA clears him in terms of sheer frequency.",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
I think Brunson and Luka are exquisite complainers but as floppers they're not as good as those top 3.,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Harden Embiid SGA Luka Brunson,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"Luka by far last, not in the conversation with other 4. He is known for chirping at the officials.",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Harden Embiid Luka SGA Brunson,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
i think prime harden is clearly number 1. greatest flopper of all time and i dont think that its close,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
I will say this- you shouldn't be an MVP if you're heavily reliant on flopping as part of your overall game.,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
SGA - 7.9,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Embiid by far.,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Jimmy Butler,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
Chet Holmgren entering conversation from what thankfully little I've seen of him. Always making faces like he's been stabbed with a machete.,hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
"Other three each have a signature move. Embiid flailing limbs, Harden hooking/pinning and creating contact, SGA falling down every time he shoots.",hot_take,Ranking or strong opinion about flopping with limited support,r/nba - Rank these players in terms of flopping
… what?,reaction,"Short agreement, joke, or conversational response",r/nba - What hot takes are you willing to admit you were wrong about?
You're not alone.,reaction,"Short agreement, joke, or conversational response",r/nba - What hot takes are you willing to admit you were wrong about?
"Dang. I mean, dang.",reaction,"Short agreement, joke, or conversational response",r/nba - What hot takes are you willing to admit you were wrong about?
Chet 💪,reaction,"Short emotional response, joke, or agreement",r/nba - Wembanyama rim protection playoff stat
Based profile pic,reaction,"Short emotional response, joke, or agreement",r/nba - Wembanyama rim protection playoff stat
New nickname: “DUI checkpoint”,reaction,"Short emotional response, joke, or agreement",r/nba - Wembanyama rim protection playoff stat
The math aint mathing.,reaction,"Short emotional response, joke, or agreement",r/nba - Wembanyama rim protection playoff stat
Hes not built like Wemby,reaction,"Short emotional response, joke, or agreement",r/nba - Wembanyama rim protection playoff stat
"Damn, chills!",reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
